Connected to /dev/ttyACM0 at 115200 baud.
Press Ctrl+C to stop reading.

2l us
Timer 3: elapsed = 432l us
Timer 2: elapsed = 297l us
Timer 1: elapsed = 205l us
Timer 2: elapsed = 134l us
Timer 1: elapsed = 136l us
Timer 1: elapsed = 149l us
Timer 2: elapsed = 282l us
Timer 1: elapsed = 130l us
Timer 3: elapsed = 699l us
Timer 2: elapsed = 280l us
Timer 2: elapsed = 65l us
Timer 1: elapsed = 367l us
Timer 2: elapsed = 97l us
Timer 1: elapsed = 97l us
Timer 2: elapsed = 121l us
Timer 1: elapsed = 100l us
Timer 3: elapsed = 470l us
Timer 1: elapsed = 122l us
Timer 1: elapsed = 18l us
Timer 2: elapsed = 270l us
Timer 1: elapsed = 84l us
Timer 2: elapsed = 85l us
Timer 2: elapsed = 75l us
Timer 3: elapsed = 381l us
Timer 1: elapsed = 272l us
Timer 2: elapsed = 185l us
Timer 1: elapsed = 109l us
Timer 2: elapsed = 109l us
Timer 1: elapsed = 222l us
Timer 3: elapsed = 469l us
Timer 2: elapsed = 298l us
Timer 1: elapsed = 180l us
Timer 2: elapsed = 65l us
Timer 1: elapsed = 50l us
Timer 2: elapsed = 148l us
Timer 1: elapsed = 228l us
Timer 2: elapsed = 230l us
Timer 3: elapsed = 571l us
Timer 2: elapsed = 121l us
Timer 1: elapsed = 276l us
Timer 2: elapsed = 79l us
Timer 1: elapsed = 86l us
Timer 1: elapsed = 149l us
Timer 2: elapsed = 333l us
Timer 1: elapsed = 179l us
Timer 3: elapsed = 632l us
Timer 2: elapsed = 238l us
Timer 2: elapsed = 29l us
Timer 2: elapsed = 6l us
Timer 1: elapsed = 281l us
Timer 2: elapsed = 77l us
Timer 1: elapsed = 70l us
Timer 3: elapsed = 250l us
Timer 1: elapsed = 62l us
Timer 2: elapsed = 124l us
Timer 1: elapsed = 62l us
Timer 2: elapsed = 225l us
Timer 1: elapsed = 266l us
Timer 2: elapsed = 114l us
Timer 1: elapsed = 70l us
Timer 3: elapsed = 465l us
Timer 2: elapsed = 106l us
Timer 1: elapsed = 81l us
Timer 2: elapsed = 104l us
Timer 1: elapsed = 228l us
Timer 2: elapsed = 186l us
Timer 1: elapsed = 62l us
Timer 2: elapsed = 183l us
Timer 3: elapsed = 578l us
Timer 1: elapsed = 316l us
Timer 2: elapsed = 172l us
Timer 1: elapsed = 57l us
Timer 2: elapsed = 86l us
Timer 1: elapsed = 169l us
Timer 2: elapsed = 133l us
Timer 1: elapsed = 104l us
Timer 3: elapsed = 452l us
Timer 2: elapsed = 202l us
Timer 1: elapsed = 136l us
Timer 2: elapsed = 79l us
Timer 1: elapsed = 122l us
Timer 2: elapsed = 117l us
Timer 1: elapsed = 102l us
Timer 2: elapsed = 179l us
Timer 3: elapsed = 490l us
Timer 1: elapsed = 290l us
Timer 2: elapsed = 260l us
Timer 1: elapsed = 211l us
Timer 2: elapsed = 212l us
Timer 2: elapsed = 96l us
Timer 2: elapsed = 91l us
Timer 3: elapsed = 696l us
Timer 1: elapsed = 484l us
Timer 2: elapsed = 212l us
Timer 3: elapsed = 223l us
Timer 1: elapsed = 225l us
Timer 2: elapsed = 307l us
Timer 1: elapsed = 132l us
Timer 2: elapsed = 99l us
Timer 1: elapsed = 214l us
Timer 2: elapsed = 231l us
Timer 3: elapsed = 601l us
Timer 1: elapsed = 181l us
Timer 2: elapsed = 163l us
Timer 1: elapsed = 98l us
Timer 2: elapsed = 81l us
Timer 1: elapsed = 226l us
Timer 2: elapsed = 241l us
Timer 3: elapsed = 496l us
Timer 1: elapsed = 225l us
Timer 2: elapsed = 180l us
Timer 1: elapsed = 104l us
Timer 2: elapsed = 226l us
Timer 1: elapsed = 197l us
Timer 3: elapsed = 540l us
Timer 2: elapsed = 274l us
Timer 1: elapsed = 382l us
Timer 2: elapsed = 225l us
Timer 1: elapsed = 130l us
Timer 2: elapsed = 136l us
Timer 3: elapsed = 495l us
Timer 1: elapsed = 208l us
Timer 2: elapsed = 162l us
Timer 1: elapsed = 95l us
Timer 2: elapsed = 101l us
Timer 2: elapsed = 60l us
Timer 1: elapsed = 174l us
Timer 2: elapsed = 95l us
Timer 3: elapsed = 361l us
Timer 1: elapsed = 168l us
Timer 2: elapsed = 220l us
Timer 1: elapsed = 150l us
Timer 2: elapsed = 177l us
Timer 1: elapsed = 182l us
Timer 1: elapsed = 7l us
Timer 3: elapsed = 497l us
Timer 2: elapsed = 272l us
Timer 1: elapsed = 248l us
Timer 2: elapsed = 148l us
Timer 1: elapsed = 177l us
Timer 2: elapsed = 207l us
Timer 1: elapsed = 212l us
Timer 3: elapsed = 716l us
Timer 1: elapsed = 194l us
Timer 2: elapsed = 333l us
Timer 1: elapsed = 132l us
Timer 2: elapsed = 133l us
Timer 2: elapsed = 5l us
Timer 2: elapsed = 6l us
Timer 3: elapsed = 290l us
Timer 1: elapsed = 219l us
Timer 2: elapsed = 336l us
Timer 1: elapsed = 325l us
Timer 1: elapsed = 108l us
Timer 2: elapsed = 382l us
Timer 1: elapsed = 222l us
Timer 3: elapsed = 924l us
Timer 2: elapsed = 333l us
Timer 1: elapsed = 333l us
Timer 3: elapsed = 238l us
Timer 2: elapsed = 151l us
Timer 1: elapsed = 70l us
Timer 2: elapsed = 127l us
Timer 1: elapsed = 156l us
Timer 2: elapsed = 68l us
Timer 1: elapsed = 170l us
Timer 3: elapsed = 435l us
Timer 2: elapsed = 372l us
Timer 1: elapsed = 287l us
Timer 2: elapsed = 153l us
Timer 1: elapsed = 155l us
Timer 1: elapsed = 132l us
Timer 1: elapsed = 135l us
Timer 3: elapsed = 694l us
Timer 2: elapsed = 518l us
Timer 1: elapsed = 213l us
Timer 3: elapsed = 311l us
Timer 2: elapsed = 286l us
Timer 1: elapsed = 361l us
Timer 2: elapsed = 148l us
Timer 1: elapsed = 149l us
Timer 2: elapsed = 151l us
Timer 2: elapsed = 125l us
Timer 2: elapsed = 58l us
Timer 3: elapsed = 634l us
Timer 1: elapsed = 318l us
Timer 2: elapsed = 228l us
Timer 1: elapsed = 188l us
Timer 3: elapsed = 384l us
Timer 2: elapsed = 339l us
Timer 1: elapsed = 320l us
Timer 2: elapsed = 184l us
Timer 1: elapsed = 186l us
Timer 2: elapsed = 91l us
Timer 3: elapsed = 451l us
Timer 1: elapsed = 98l us
Timer 2: elapsed = 60l us
Timer 1: elapsed = 115l us
Timer 2: elapsed = 217l us
Timer 1: elapsed = 225l us
Timer 2: elapsed = 194l us
Timer 1: elapsed = 162l us
Timer 3: elapsed = 603l us
Timer 2: elapsed = 175l us
Timer 2: elapsed = 12l us
Timer 1: elapsed = 115l us
Timer 2: elapsed = 137l us
Timer 1: elapsed = 179l us
Timer 2: elapsed = 237l us
Timer 1: elapsed = 274l us
Timer 3: elapsed = 576l us
Timer 2: elapsed = 241l us
Timer 2: elapsed = 30l us
Timer 1: elapsed = 190l us
Timer 2: : elapsed = 196l us
Timer 1: elapsed = 139l us
Timer 1: elapsed = 65l us
Timer 3: elapsed = 1056l us
Timer 1: elapsed = 187l us
Timer 2: elapsed = 528l us
Timer 1: elapsed = 102l us
Timer 1: elapsed = 163l us
Timer 1: elapsed = 28l us
Timer 1: elapsed = 105l us
Timer 2: elapsed = 474l us
Timer 1: elapsed = 228l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 65l us
Timer 3: elapsed = 1000l us
Timer 1: elapsed = 199l us
Timer 2: elapsed = 522l us
Timer 1: elapsed = 117l us
Timer 1: elapsed = 82l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 124l us
Timer 2: elapsed = 470l us
Timer 1: elapsed = 166l us
Timer 1: elapsed = 82l us
Timer 1: elapsed = 127l us
Timer 3: elapsed = 966l us
Timer 1: elapsed = 219l us
Timer 2: elapsed = 581l us
Timer 1: elapsed = 201l us
Timer 1: elapsed = 61l us
Timer 1: elapsed = 150l us
Timer 1: elapsed = 73l us
Timer 2: elapsed = 499l us
Timer 1: elapsed = 175l us
Timer 1: elapsed = 96l us
Timer 3: elapsed = 1063l us
Timer 1: elapsed = 197l us
Timer 2: elapsed = 405l us
Timer 1: elapsed = 173l us
Timer 1: elapsed = 25l us
Timer 1: elapsed = 142l us
Timer 1: elapsed = 64l us
Timer 2: elapsed = 574l us
Timer 1: elapsed = 200l us
Timer 1: elapsed = 154l us
Timer 1: elapsed = 38l us
Timer 3: elapsed = 985l us
Timer 1: elapsed = 221l us
Timer 2: elapsed = 484l us
Timer 1: elapsed = 88l us
Timer 1: elapsed = 104l us
Timer 1: elapsed = 108l us
Timer 1: elapsed = 102l us
Timer 2: elapsed = 431l us
Timer 1: elapsed = 211l us
Timer 1: elapsed = 76l us
Timer 1: elapsed = 124l us
Timer 3: elapsed = 955l us
Timer 1: elapsed = 212l us
Timer 2: elapsed = 594l us
Timer 1: elapsed = 62l us
Timer 1: elapsed = 177l us
Timer 1: elapsed = 26l us
Timer 1: elapsed = 167l us
Timer 2: elapsed = 409l us
Timer 1: elapsed = 126l us
Timer 1: elapsed = 161l us
Timer 1: elapsed = 51l us
Timer 3: elapsed = 1015l us
Timer 1: elapsed = 221l us
Timer 2: elapsed = 597l us
Timer 1: elapsed = 196l us
Timer 1: elapsed = 136l us
Timer 1: elapsed = 48l us
Timer 1: elapsed = 27l us
Timer 2: elapsed = 425l us
Timer 1: elapsed = 163l us
Timer 1: elapsed = 123l us
Timer 1: elapsed = 95l us
Timer 3: elapsed = 1020l us
Timer 1: elapsed = 174l us
Timer 2: elapsed = 529l us
Timer 1: elapsed = 121l us
Timer 1: elapsed = 147l us
Timer 1: elapsed = 38l us
Timer 1: elapsed = 185l us
Timer 2: elapsed = 444l us
Timer 1: elapsed = 171l us
Timer 1: elapsed = 70l us
Timer 1: elapsed = 107l us
Timer 3: elapsed = 977l us
Timer 1: elapsed = 166l us
Timer 2: elapsed = 570l us
Timer 1: elapsed = 120l us
Timer 1: elapsed = 107l us
Timer 1: elapsed = 70l us
Timer 1: elapsed = 196l us
Timer 2: elapsed = 438l us
Timer 1: elapsed = 170l us
Timer 1: elapsed = 36l us
Timer 1: elapsed = 155l us
Timer 3: elapsed = 971l us
Timer 1: elapsed = 218l us
Timer 2: elapsed = 651l us
Timer 1: elapsed = 146l us
Timer 1: elapsed = 30l us
Timer 1: elapsed = 81l us
Timer 1: elapsed = 113l us
